	   -1	   -8	  -18	   18	   18	  10
	   16	  -16	   -8	    7	    7	  1
	   -7	   15	   -7	    6	  -20	  -9
	   10	    5	   -9	    5	  -19	  -4
	   -3	   -8	    1	   -6	   11	  -8

	   13	   17	  -20	  -17	  -18	  -18
	   13	   17	  -20	  -17	  -18	  -10
	   13	   -9	  -11	    3	    2	  -14
	   17	   -2	   -9	  -15	   12	  -18
	   -2	   14	    5	  -13	  -12	  2

	    0	  -10	  -20	   -1	    8	    -20
	    0	    0	   -6	   13	    2	    0
	   16	    5	    0	    7	    0	    13
	   10	  -12	  -20	    0	   -5	    11
	    9	  -19	  -13	   -1	    0	    0
